studentID,grade,serviceID,courseDescription,subject,ap,dualCredit,g/t,honors,onRamps,courseCredits,creditsEarned,creditsFailed
33,12,3350100,SOC ST PSYCHOLOGY,PSY,N,N,N,N,N,1,0,1
34,9,3010200,BIOLOGY ADV H,BIO,N,N,N,N,N,1,1,0
34,9,3010200,BIOLOGY ADV H,BIO,N,N,N,N,N,1,1,0
34,11,3220300,ENGLISH 3 DC H,ENG,N,Y,N,Y,N,1,1,0
34,11,13024700,CTE CHILD DEVELOPMENT,CTE,N,N,N,N,N,1,1,0
35,10,PES00053,PE ADV/OUTDOOR ED,HLP,N,N,N,N,N,1,1,0
35,10,3220207,ENGLISH 2 ALT,SE,N,N,N,N,N,1,1,0
35,11,13024400,CTE INTERPERSONAL STUDIES,CTE,N,N,N,N,N,1,1,0
35,9,3150500,ORCH CONCERT 1,FA,N,N,N,N,N,1,1,0
35,11,N1290030,AVID 3,MSC,N,N,N,N,N,1,1,0
35,11,3060201,SCIENCE IPC CT,IPC,N,N,N,N,N,1,1,0
36,11,A3040000,SCIENCE CHEMISTRY AP H,CHM,N,N,N,Y,N,1,1,0
36,12,3370100,SOC ST SOCIOLOGY,SOC,N,N,N,N,N,1,1,0
36,12,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
36,11,3340400,SOC ST WORLD HISTORY,WHI,N,N,N,N,N,1,0,1
36,12,13037100,PRINCIPLES OF TECHNOLOGY,CTE,N,N,N,N,N,1,1,0
37,9,,EOC ALG 1,,N,N,N,N,N,0,0,0
37,12,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
37,9,3220100,ENGLISH 1 PRE-AP,ENG,N,N,N,N,N,1,1,0
37,10,PES00053,PE ADV/OUTDOOR ED,HLP,N,N,N,N,N,1,1,0
37,10,3440300,SPANISH 3 DC H,SPA,N,Y,N,Y,N,1,1,0
38,9,3100500,ALGEBRA 1,AG1,N,N,N,N,N,1,1,0
38,10,84200502,ATH ATHLETICS LC,HLP,N,N,N,N,N,1,1,0
38,10,3040000,SCIENCE CHEMISTRY,SCI,N,N,N,N,N,1,1,0
38,9,3010200,SCIENCE BIOLOGY,BIO,N,N,N,N,N,1,1,0
39,12,A3100101,MATH CALCULUS AB AP H,MTH,Y,N,N,Y,N,1,1,0
39,9,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
39,12,13037100,CTE PRIN TECH,CTE,N,N,N,N,N,1,1,0
39,9,3320100,SOC ST WORLD GEOG P-AP H,WGE,N,N,N,Y,N,1,1,0
40,10,13032300,WELDING I,CTE,N,N,N,N,N,1,1,0
40,11,3100700,GEOMETRY,GMT,N,N,N,N,N,1,1,0
40,11,3220300,ENGLISH 3,ELA,N,N,N,N,N,1,1,0
40,10,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
40,9,13004210,PRINCIPLES OF ARCHITECTURE,CTE,N,N,N,N,N,1,1,0
41,10,3100500,MATH ALGEBRA 1,MTH,N,N,N,N,N,1,1,0
41,9,3250100,THEATRE 1,FA,N,N,N,N,N,1,1,0
41,11,3151900,ORCH CONCERT 3 ENS,FA,N,N,N,N,N,1,1,0
41,12,3020000,SCIENCE ENV SYS ACC,SCI,N,N,N,N,N,1,1,0
41,12,3020000,SCIENCE ENV SYS ACC,SCI,N,N,N,N,N,1,1,0
42,12,CP111200,COLLEGE PREPARATORY MATH,,N,N,N,N,N,1,1,0
42,12,3380022,SOC ST ST-NATL SEC H,SOC,N,N,N,Y,N,1,0,1
42,9,3440200,SPANISH 2,SPA,N,N,N,N,N,1,1,0
42,12,13020500,PRAC HEALTH SCI MED ASST H,CTE,N,N,N,Y,N,1,1,0
42,9,3100500,MATH ALGEBRA 1,MTH,N,N,N,N,N,1,0,1
43,10,13024500,CTE NUTRI & WELLNESS,CTE,N,N,N,N,N,1,1,0
43,9,3010200,BIOLOGY,BIO,N,N,N,N,N,1,0,1
43,10,3220200,ENGLISH 2 P-AP H,ELA,N,N,N,Y,N,1,1,0
43,12,3100600,ALGEBRA 2 MTI,SE,N,N,N,N,N,1,1,0
43,12,3221820,IND STDY/TX COLL BRIDGE ELA,ELA,N,N,N,N,N,1,1,0
44,11,13009900,CTE PROFESSIONAL COMMUNICATION,CTE,N,N,N,N,N,1,1,0
44,10,3151000,CHOIR CONCERT TREBLE 2,CHR,N,N,N,N,N,1,1,0
44,10,3040000,CHEMISTRY ADV H,CHM,N,N,N,Y,N,1,0,1
44,10,N1270153,GENERAL EMPLOYABILITY SKILLS,SE,N,N,N,N,N,1,1,0
45,9,3150900,CHOIR CONCERT TREBLE 1,FA,N,N,N,N,N,1,1,0
45,10,3220200,ENGLISH 2,ENG,N,N,N,N,N,1,1,0
45,10,PES00012,PE/BAND 2,HLP,N,N,N,N,N,1,1,0
45,10,13009300,CTE FASHION DESIGN I,CTE,N,N,N,N,N,1,1,0
45,12,3350100,SOC ST PSYCHOLOGY,PSY,N,N,N,N,N,1,1,0
45,10,3100700,GEOMETRY,GMT,N,N,N,N,N,1,0.5,0.5
46,10,3500100,ART 1 BASIC DESIGN,ART,N,N,N,N,N,1,1,0
46,12,13004300,CTE INTERIOR DESIGN I,CTE,N,N,N,N,N,1,1,0
46,10,13016600,CTE ACCOUNTING 1,CTE,N,N,N,N,N,1,1,0
46,10,3340100,SOC ST US HISTORY,UHI,N,N,N,N,N,1,1,0
47,10,3040000,CHEMISTRY ADV H,CHM,N,N,N,Y,N,1,1,0
47,12,3241400,SPEECH COMM APPL,ELA,N,N,N,N,N,1,1,0
47,9,A3440100,SPANISH LANG & COMP AP H,SPA,Y,N,N,N,N,1,1,0
47,12,3220400,ENGLISH 4,ELA,N,N,N,N,N,0,0,0
47,11,A3220100,Eng 3 Lang & Comp AP H,ELA,Y,N,N,N,N,1,1,0
47,11,13011200,PRIN OF BUS, MKTG,,N,N,N,N,1,0,1
47,11,3340100,US HISTORY OR H,UHI,N,N,N,Y,Y,1,1,0
48,11,3250600,THEATRE TECH 2,FA,N,N,N,N,N,1,1,0
48,12,PES00053,PE ADV/OUTDOOR ED,HLP,N,N,N,N,N,1,1,0
48,10,13011400,BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
49,11,3310300,SOC ST ECONOMICS,ECO,N,N,N,N,N,1,1,0
49,10,3100600,MATH ALGEBRA 2 P-AP H,MTH,N,N,N,Y,N,1,1,0
49,9,3220100,ENGLISH 1 ADV H,ENG,N,N,N,N,N,1,1,0
50,12,84200502,ATH ATHLETICS LC,HLP,N,N,N,N,N,1,1,0
50,11,,EOC ELA 1,MSC,N,N,N,N,N,0,0,0
50,10,3100700,MATH GEOMETRY,MTH,N,N,N,N,N,1,1,0
50,11,3220300,ENGLISH 3,ELA,N,N,N,N,N,1,1,0
50,9,3250100,THEATRE 1,FA,N,N,N,N,N,1,1,0
50,11,3060201,SCIENCE IPC,IPC,N,N,N,N,N,1,0,1
51,12,13027800,CTE DIGITAL MEDIA,CTE,N,N,N,N,N,1,1,0
51,9,13011400,BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
51,11,3101100,MATH PRECALCULUS,,N,N,N,N,N,1,1,0
51,12,A3040000,SCIENCE CHEMISTRY AP H,SCI,N,N,N,Y,N,1,1,0
51,9,3010200,BIOLOGY ADV H,BIO,N,N,N,N,N,1,1,0
52,9,,EOC ELA 1&2 SUPPORT,MSC,N,N,N,N,N,0,0,0
52,9,3150900,CHOIR CONCERT TREBLE 1,CHR,N,N,N,N,N,1,1,0
52,12,3102501,IND STDY/TX COLL BRIDGE MATH,PRP,N,N,N,N,N,1,1,0
52,12,PES00014,ATH VAR DRILL 1S-A,HLP,N,N,N,N,N,1,1,0
52,11,3220300,ENGLISH 3,ENG,N,N,N,N,N,1,1,0
52,10,84200502,ATH ATHLETICS LC,HLP,N,N,N,N,N,1,1,0
53,11,A3340100,SOC ST US HISTORY AP H,UHI,Y,N,N,N,N,1,1,0
53,12,85000XXX,ADVISORY,MSC,N,N,N,N,N,0,0,0
53,12,A3220200,ENG LITERATURE & COMP AP,ENG,Y,N,N,N,N,1,1,0
54,10,3500100,ART 1 BASIC DESIGN,FA,N,N,N,N,N,1,1,0
54,12,A3040000,SCIENCE CHEMISTRY AP H,SCI,N,N,N,Y,N,1,1,0
55,9,3220100,ENGLISH 1 P-AP H,ELA,N,N,N,Y,N,1,1,0
55,10,13004220,CTE PRIN OF CONSTRUCTION I,CTE,N,N,N,N,N,1,1,0
55,9,3100500,MATH ALGEBRA 1,MTH,N,N,N,N,N,1,1,0
55,10,PES00012,PE/BAND 2,HLP,N,N,N,N,N,1,1,0
55,12,3100600,MATH ALGEBRA 2,MTH,N,N,N,N,N,1,1,0
55,11,3150300,BAND HONOR 3,BND,N,N,N,N,N,1,1,0
56,10,3810100,HEALTH EDUCATION,HLP,N,N,N,N,N,1,1,0
56,10,3100700,GEOMETRY ADV H,GMT,N,N,N,N,N,1,1,0
56,11,3151900,BAND SYM 3 ENS,FA,N,N,N,N,N,1,1,0
56,12,3101100,MATH PRECALCULUS,PCA,N,N,N,N,N,1,1,0
56,10,3100700,GEOMETRY,GMT,N,N,N,N,N,1,1,0
56,9,3100700,MATH GEOM G/T H,GMT,N,N,Y,N,N,1,1,0
57,10,3100700,GEOMETRY SF,GMT,N,N,N,N,N,1,1,0
57,9,PES00056,SKILLS BASED LIFETIME ACT,HLP,N,N,N,N,N,1,1,0
57,11,PES00014   ,PE SUB DRILL TEAM,,N,N,N,N,N,1,1,0
58,12,3330100,SOC ST US GOVERNMENT DC H,SOC,N,Y,N,Y,N,1,1,0
58,12,13029500,CTE FORENSIC SCIENCE,CTE,N,N,N,N,N,1,1,0
58,11,3330100,US GOVERNMENT MTI DE,GOV,N,N,N,N,N,1,1,0
58,12,PES00003,ATH TENNIS-SUBATH4,HLP,N,N,N,N,N,1,1,0
58,11,3220300,ENGLISH 3 DC H,ENG,N,Y,N,Y,N,1,1,0
58,9,3010200,SCIENCE BIOLOGY P/AP H,SCI,N,N,N,Y,N,1,1,0
59,10,13024700,CTE CHILD DEVELOPMENT,CTE,N,N,N,N,N,1,1,0
59,9,3440200,SPANISH 2,SPA,N,N,N,N,N,1,1,0
59,10,3440200,FL SPANISH 2,SPA,N,N,N,N,N,1,1,0
59,10,3340100,SOC ST US HISTORY,SOC,N,N,N,N,N,1,1,0
59,11,3830300,DANCE 3,FA,N,N,N,N,N,1,1,0
59,9,3100500,MATH ALGEBRA 1,MTH,N,N,N,N,N,1,1,0
60,9,3200550,ENGLISH LA 8,EN8,N,N,N,N,N,1,1,0
60,12,13024300,CTE DOLLARS & SENSE,CTE,N,N,N,N,N,1,1,0
60,9,3220100,ENGLISH 1 PRE-AP,ENG,N,N,N,N,N,1,1,0
61,12,3151200,CHOIR VARSITY MIXED 4,FA,N,N,N,N,N,1,1,0
61,9,3100700,MATH GEOMETRY,MTH,N,N,N,N,N,0,0,0
61,9,3020000,ENVIRONMENTAL SYSTEMS,ENS,N,N,N,N,N,1,1,0
62,9,SR000003   ,HOMEROOM,MSC,N,N,N,N,N,1,1,0
62,9,84900011,BASIC TECH APPLICATIONS 1,SE,N,N,N,N,N,1,1,0
62,12,3040000,SCIENCE CHEMISTRY,SCI,N,N,N,N,N,1,1,0
62,9,3100507,ALGEBRA 1 ALT,AG1,N,N,N,N,N,1,1,0
62,12,85000508,COLLEGE PREP,MSC,N,N,N,N,N,1,1,0
63,12,3370100,SOC ST SOCIOLOGY,SOC,N,N,N,N,N,1,1,0
63,11,A3220100,ENG LANG & COMP AP/GT H,ELA,N,N,Y,Y,N,1,1,0
63,9,3440220,FL SPANISH FOR SPAN SPKRS 2,LOT,N,N,N,N,N,1,1,0
64,10,3150200,BAND HONOR 2,BND,N,N,N,N,N,1,1,0
64,9,3340400,SOC ST WORLD HISTORY,WHI,N,N,N,N,N,1,1,0
64,11,3100600,ALGEBRA 2 SF,AG2,N,N,N,N,N,1,0.5,0.5
64,9,3220100,ENGLISH 1,ELA,N,N,N,N,N,1,1,0
65,11,3020000,SCIENCE ENV SYS ACC,SCI,N,N,N,N,N,0,0,0
65,11,13039600,CTE AUTO TECH I: MAINT/REP,CTE,N,N,N,N,N,1,1,0
65,10,PES00052,PE 1A FPF,HLP,N,N,N,N,N,1,1,0
65,9,3340400,SOC ST WORLD HISTORY,SOC,N,N,N,N,N,1,1,0
65,11,A3040000,SCIENCE CHEMISTRY AP H,SCI,N,N,N,Y,N,1,1,0
65,12,3230110,JOURNALISM AJ/YB 1,JOU,N,N,N,N,N,1,1,0
65,10,3040000,CHEMISTRY OR H,CHM,N,N,N,Y,Y,1,1,0
66,9,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
66,12,13029500,CTE FORENSIC SCIENCE,CTE,N,N,N,N,N,1,1,0
66,11,13022500,CTE TRAVEL & TOURISM MGMT,CTE,N,N,N,N,N,1,1,0
66,12,3220400,ENGLISH 4 DC H,ENG,N,Y,N,Y,N,1,1,0
66,12,3220400,ENGLISH 4,ELA,N,N,N,N,N,1,1,0
67,10,PES00012,PE/BAND 2,HLP,N,N,N,N,N,1,1,0
67,12,3102501,IND STDY/TX COLL BRIDGE MATH,PRP,N,N,N,N,N,1,1,0
68,12,3060100,SCIENCE ASTRONOMY,SCI,N,N,N,N,N,1,1,0
68,9,3320100,SOC ST WORLD GEOG P-AP H,SOC,N,N,N,Y,N,1,1,0
68,9,13022550,CTE INTRODUCTION CULINARY ARTS,CTE,N,N,N,N,N,1,1,0
68,11,3050000,PHYSICS ADV H,PHY,N,N,N,Y,N,1,1,0
68,11,3241400,SPEECH COMM APPL,SP,N,N,N,N,N,1,1,0
69,9,13008200,PRIN OF ARTS, A/V TECH & COMM,N,N,N,N,N,1,0,1
69,12,13029500,CTE FORENSIC SCIENCE,CTE,N,N,N,N,N,1,1,0
69,12,13037100,CTE PRIN TECH,CTE,N,N,N,N,N,1,1,0
69,9,84000502,READING 1 DYS LAB LC,ELA,N,N,N,N,N,1,1,0
69,11,3220300,ENGLISH 3,ENG,N,N,N,N,N,1,1,0
70,9,3220100,ENGLISH 1 P-AP H,ELA,N,N,N,Y,N,1,1,0
70,11,3100600,MATH ALGEBRA 2,AG2,N,N,N,N,N,1,1,0
70,12,85000003,OFFICE FRONT 1S,MSC,N,N,N,N,N,1,1,0
70,10,A3340100,US HISTORY AP H,UHI,Y,N,N,N,N,1,0,1
